DateTime,Visitor,Visitor PTS,Home,Home PTS,OT,Attendance,Arena,DateStr,Visitor_short,Home_short,game_id
2000-10-31 19:30:00,Charlotte Hornets,106.0,Atlanta Hawks,82.0,,18465.0,Philips Arena,200010311930,CHH,ATL,200010311930CHHATL
2000-10-31 19:30:00,Cleveland Cavaliers,86.0,New Jersey Nets,82.0,,14505.0,Continental Airlines Arena,200010311930,CLE,NJN,200010311930CLENJN
2000-10-31 19:30:00,Washington Wizards,86.0,Orlando Magic,97.0,,13349.0,TD Waterhouse Centre,200010311930,WAS,ORL,200010311930WASORL
2000-10-31 20:00:00,Milwaukee Bucks,93.0,Dallas Mavericks,97.0,,16600.0,Reunion Arena,200010312000,MIL,DAL,200010312000MILDAL
2000-10-31 20:00:00,Philadelphia 76ers,101.0,New York Knicks,72.0,,19763.0,Madison Square Garden (IV),200010312000,PHI,NYK,200010312000PHINYK
2000-10-31 20:00:00,Detroit Pistons,104.0,Toronto Raptors,95.0,,19800.0,Air Canada Centre,200010312000,DET,TOR,200010312000DETTOR
2000-10-31 20:30:00,Sacramento Kings,100.0,Chicago Bulls,81.0,,21814.0,United Center,200010312030,SAC,CHI,200010312030SACCHI
2000-10-31 20:30:00,Minnesota Timberwolves,106.0,Houston Rockets,98.0,,11327.0,Compaq Center,200010312030,MIN,HOU,200010312030MINHOU
2000-10-31 20:30:00,Indiana Pacers,85.0,San Antonio Spurs,98.0,,17450.0,Alamodome,200010312030,IND,SAS,200010312030INDSAS
2000-10-31 21:00:00,Los Angeles Clippers,94.0,Utah Jazz,107.0,,17824.0,Delta Center,200010312100,LAC,UTA,200010312100LACUTA
2000-10-31 22:30:00,Phoenix Suns,94.0,Golden State Warriors,96.0,,15460.0,The Arena in Oakland,200010312230,PHX,GSW,200010312230PHXGSW
2000-10-31 22:30:00,Los Angeles Lakers,96.0,Portland Trail Blazers,86.0,,20270.0,Rose Garden Arena,200010312230,LAL,POR,200010312230LALPOR
2000-10-31 22:30:00,Seattle SuperSonics,88.0,Vancouver Grizzlies,94.0,,15779.0,General Motors Place,200010312230,SEA,VAN,200010312230SEAVAN
2000-11-01 19:00:00,Toronto Raptors,98.0,Philadelphia 76ers,104.0,,19817.0,First Union Center,200011011900,TOR,PHI,200011011900TORPHI
2000-11-01 19:00:00,Detroit Pistons,83.0,Boston Celtics,103.0,,17725.0,FleetCenter,200011011900,DET,BOS,200011011900DETBOS
2000-11-01 19:30:00,Washington Wizards,95.0,Charlotte Hornets,77.0,,16043.0,Charlotte Coliseum,200011011930,WAS,CHH,200011011930WASCHH
2000-11-01 19:30:00,Sacramento Kings,100.0,Cleveland Cavaliers,102.0,2OT,17695.0,Gund Arena,200011011930,SAC,CLE,200011011930SACCLE
2000-11-01 20:00:00,Orlando Magic,79.0,Miami Heat,105.0,,16500.0,AmericanAirlines Arena,200011012000,ORL,MIA,200011012000ORLMIA
2000-11-01 22:00:00,Denver Nuggets,99.0,Seattle SuperSonics,112.0,,17072.0,KeyArena at Seattle Center,200011012200,DEN,SEA,200011012200DENSEA
2000-11-01 22:30:00,Utah Jazz,97.0,Los Angeles Lakers,92.0,,18997.0,STAPLES Center,200011012230,UTA,LAL,200011012230UTALAL
2000-11-02 19:30:00,Atlanta Hawks,69.0,New York Knicks,94.0,,19763.0,Madison Square Garden (IV),200011021930,ATL,NYK,200011021930ATLNYK
2000-11-02 20:00:00,Indiana Pacers,88.0,Dallas Mavericks,94.0,,11750.0,Reunion Arena,200011022000,IND,DAL,200011022000INDDAL
2000-11-02 20:00:00,Minnesota Timberwolves,91.0,San Antonio Spurs,103.0,,14193.0,Alamodome,200011022000,MIN,SAS,200011022000MINSAS
2000-11-02 20:30:00,Milwaukee Bucks,93.0,Houston Rockets,115.0,,10687.0,Compaq Center,200011022030,MIL,HOU,200011022030MILHOU
2000-11-02 21:00:00,Golden State Warriors,97.0,Denver Nuggets,101.0,,15790.0,Pepsi Center,200011022100,GSW,DEN,200011022100GSWDEN
2000-11-02 21:00:00,Portland Trail Blazers,82.0,Phoenix Suns,108.0,,18436.0,America West Arena,200011022100,POR,PHX,200011022100PORPHX
2000-11-02 22:30:00,Vancouver Grizzlies,99.0,Los Angeles Clippers,91.0,,15546.0,STAPLES Center,200011022230,VAN,LAC,200011022230VANLAC
2000-11-03 19:00:00,New York Knicks,80.0,Washington Wizards,76.0,,20674.0,MCI Center,200011031900,NYK,WAS,200011031900NYKWAS
2000-11-03 19:30:00,Toronto Raptors,91.0,Boston Celtics,93.0,,17464.0,FleetCenter,200011031930,TOR,BOS,200011031930TORBOS
2000-11-03 19:30:00,Miami Heat,79.0,Charlotte Hornets,83.0,,14016.0,Charlotte Coliseum,200011031930,MIA,CHH,200011031930MIACHH
2000-11-03 19:30:00,Philadelphia 76ers,87.0,Orlando Magic,80.0,,14233.0,TD Waterhouse Centre,200011031930,PHI,ORL,200011031930PHIORL
2000-11-03 20:00:00,Sacramento Kings,100.0,Detroit Pistons,93.0,,22076.0,The Palace of Auburn Hills,200011032000,SAC,DET,200011032000SACDET
2000-11-03 20:30:00,New Jersey Nets,92.0,Chicago Bulls,82.0,,21908.0,United Center,200011032030,NJN,CHI,200011032030NJNCHI
2000-11-04 15:30:00,Los Angeles Lakers,98.0,Vancouver Grizzlies,89.0,,18183.0,General Motors Place,200011041530,LAL,VAN,200011041530LALVAN
2000-11-04 19:00:00,Chicago Bulls,81.0,Indiana Pacers,94.0,,18345.0,Conseco Fieldhouse,200011041900,CHI,IND,200011041900CHIIND
2000-11-04 19:00:00,Washington Wizards,96.0,Toronto Raptors,103.0,,18726.0,Air Canada Centre,200011041900,WAS,TOR,200011041900WASTOR
2000-11-04 19:30:00,Orlando Magic,107.0,Atlanta Hawks,104.0,,13833.0,Philips Arena,200011041930,ORL,ATL,200011041930ORLATL
2000-11-04 19:30:00,Boston Celtics,89.0,Cleveland Cavaliers,91.0,,18392.0,Gund Arena,200011041930,BOS,CLE,200011041930BOSCLE
2000-11-04 19:30:00,Philadelphia 76ers,84.0,Miami Heat,82.0,,16029.0,AmericanAirlines Arena,200011041930,PHI,MIA,200011041930PHIMIA
2000-11-04 20:00:00,Utah Jazz,112.0,Dallas Mavericks,106.0,,16500.0,Reunion Arena,200011042000,UTA,DAL,200011042000UTADAL
2000-11-04 20:00:00,Sacramento Kings,91.0,Minnesota Timberwolves,99.0,,19006.0,Target Center,200011042000,SAC,MIN,200011042000SACMIN
2000-11-04 20:00:00,Charlotte Hornets,98.0,New Jersey Nets,87.0,,11522.0,Continental Airlines Arena,200011042000,CHH,NJN,200011042000CHHNJN
2000-11-04 20:30:00,Detroit Pistons,88.0,Milwaukee Bucks,97.0,,18717.0,Bradley Center,200011042030,DET,MIL,200011042030DETMIL
2000-11-04 21:00:00,Phoenix Suns,102.0,Denver Nuggets,99.0,,13312.0,Pepsi Center,200011042100,PHX,DEN,200011042100PHXDEN
2000-11-04 22:00:00,Portland Trail Blazers,97.0,Seattle SuperSonics,90.0,,17072.0,KeyArena at Seattle Center,200011042200,POR,SEA,200011042200PORSEA
2000-11-04 22:30:00,San Antonio Spurs,117.0,Golden State Warriors,105.0,,16121.0,The Arena in Oakland,200011042230,SAS,GSW,200011042230SASGSW
2000-11-04 22:30:00,Houston Rockets,74.0,Los Angeles Clippers,77.0,,10797.0,STAPLES Center,200011042230,HOU,LAC,200011042230HOULAC
2000-11-05 20:00:00,Houston Rockets,99.0,Phoenix Suns,104.0,,16735.0,America West Arena,200011052000,HOU,PHX,200011052000HOUPHX
2000-11-05 21:30:00,Los Angeles Clippers,103.0,Los Angeles Lakers,108.0,,18997.0,STAPLES Center,200011052130,LAC,LAL,200011052130LACLAL
2000-11-06 19:30:00,Seattle SuperSonics,99.0,Orlando Magic,110.0,,12460.0,TD Waterhouse Centre,200011061930,SEA,ORL,200011061930SEAORL
2000-11-06 21:00:00,Dallas Mavericks,108.0,Denver Nuggets,96.0,,11190.0,Pepsi Center,200011062100,DAL,DEN,200011062100DALDEN
2000-11-06 21:00:00,Minnesota Timberwolves,92.0,Utah Jazz,98.0,,19911.0,Delta Center,200011062100,MIN,UTA,200011062100MINUTA
2000-11-06 22:00:00,Atlanta Hawks,87.0,Vancouver Grizzlies,97.0,,11639.0,General Motors Place,200011062200,ATL,VAN,200011062200ATLVAN
2000-11-06 22:30:00,Portland Trail Blazers,75.0,Sacramento Kings,79.0,,17317.0,ARCO Arena (II),200011062230,POR,SAC,200011062230PORSAC
2000-11-07 19:00:00,Boston Celtics,75.0,Toronto Raptors,105.0,,17379.0,Air Canada Centre,200011071900,BOS,TOR,200011071900BOSTOR
2000-11-07 20:00:00,New York Knicks,103.0,Milwaukee Bucks,89.0,,14246.0,Bradley Center,200011072000,NYK,MIL,200011072000NYKMIL
2000-11-07 20:30:00,Los Angeles Lakers,74.0,Houston Rockets,84.0,,14473.0,Compaq Center,200011072030,LAL,HOU,200011072030LALHOU
2000-11-07 20:30:00,Washington Wizards,88.0,Chicago Bulls,83.0,,21312.0,United Center,200011072030,WAS,CHI,200011072030WASCHI
2000-11-07 21:00:00,San Antonio Spurs,81.0,Phoenix Suns,100.0,,16683.0,America West Arena,200011072100,SAS,PHX,200011072100SASPHX
