citric acid,chlorides,free sulfur dioxide,density,sulphates,alcohol,quality
0.53,0.07,5.0,0.9972,0.65,11.0,8
0.64,0.111,6.0,0.997,0.66,11.7,6
0.1,0.053,13.0,0.99362,0.5,11.9,5
0.65,0.068,7.0,0.9988,0.68,11.3,6
0.32,0.08,24.0,0.99624,0.85,11.0,6
0.58,0.054,7.0,0.998,0.88,10.5,7
0.54,0.114,3.0,0.99719,0.57,10.3,4
0.04,0.085,19.0,0.9958,0.78,9.5,5
0.02,0.067,4.0,0.997,0.68,9.5,5
0.39,0.08,41.0,0.99652,0.73,10.9,6
0.37,0.214,55.0,1.00369,0.77,9.0,6
0.19,0.081,17.0,0.9962,0.54,9.5,5
0.21,0.047,26.0,0.99661,0.77,9.7,6
0.67,0.093,6.0,0.9986,0.93,12.0,6
0.24,0.08,4.0,0.9962,0.59,9.5,5
0.0,0.069,8.0,0.99701,0.53,10.0,6
0.36,0.065,5.0,0.99419,0.54,11.2,7
0.3,0.074,17.0,0.99419,0.7,11.4,8
0.54,0.094,28.0,0.9984,0.82,9.6,5
0.0,0.068,10.0,0.9956,0.72,11.1,6
0.58,0.094,9.0,1.0004,0.58,9.0,5
0.0,0.079,6.0,0.9948,0.54,11.5,6
0.26,0.088,16.0,0.99694,0.47,9.4,5
0.3,0.08,33.0,0.9969,0.65,9.5,6
0.32,0.067,4.0,0.9928,0.55,12.8,7
0.25,0.078,19.0,0.99612,0.48,10.2,5
0.42,0.08,11.0,0.9974,0.8,9.4,6
0.21,0.074,16.0,0.99842,0.72,9.25,6
0.36,0.222,6.0,0.998,0.6,9.5,6
0.43,0.068,29.0,0.9943,0.6,12.2,6
0.68,0.05,37.5,0.99316,0.51,12.3,7
0.18,0.078,5.0,0.9967,0.48,9.8,6
0.0,0.042,3.0,0.9944,0.85,11.7,6
0.1,0.084,9.0,0.9976,0.49,9.7,5
0.49,0.118,10.0,1.0002,0.56,11.7,6
0.39,0.041,4.0,0.99386,0.71,12.5,7
0.24,0.084,5.0,0.9972,0.77,10.7,6
0.33,0.074,27.0,0.99706,0.58,9.0,5
0.13,0.097,24.0,0.99785,0.61,9.4,5
0.04,0.082,10.0,0.9976,0.44,9.6,5
0.2,0.049,24.0,0.9935,0.57,11.7,6
0.53,0.074,6.0,0.9962,1.13,12.0,7
0.13,0.096,14.0,0.9984,0.62,9.1,6
0.4,0.073,10.0,0.9984,0.75,10.2,6
0.05,0.066,9.0,0.99496,0.78,10.6,5
0.39,0.074,29.0,0.99528,0.88,12.4,7
0.48,0.09,5.0,0.9986,0.53,10.5,5
0.33,0.089,35.0,0.9972,0.73,11.8,7
0.24,0.072,15.0,0.9956,0.66,12.8,6
0.48,0.093,6.0,0.99408,0.62,12.4,7
0.16,0.101,13.0,0.9962,0.57,11.0,5
0.0,0.083,17.0,0.99437,0.55,11.2,4
0.37,0.11,11.0,1.0026,0.64,10.4,6
0.74,0.095,9.0,0.9994,0.77,10.8,7
0.34,0.071,45.0,0.99769,0.86,10.2,7
0.22,0.08,9.0,0.9974,0.55,9.5,5
0.06,0.074,9.0,0.99615,0.48,9.8,6
0.39,0.08,41.0,0.99652,0.73,10.9,6
0.55,0.084,6.0,1.0,0.71,9.5,6
0.05,0.086,4.0,0.9962,0.39,10.9,5
0.63,0.073,7.0,0.99974,0.69,10.9,6
0.46,0.059,11.0,0.9966,0.76,10.1,6
0.24,0.066,18.0,0.9956,0.62,10.4,5
0.12,0.083,15.0,0.9966,0.66,9.8,5
0.0,0.102,7.0,0.99586,0.46,10.0,5
0.68,0.403,19.0,0.99632,1.15,9.3,5
0.4,0.056,11.0,0.9967,0.87,8.7,6
0.24,0.07,5.0,0.9966,0.59,9.9,5
0.21,0.069,4.0,0.99458,0.54,9.8,6
0.11,0.075,16.0,0.99545,0.79,9.5,5
0.5,0.104,6.0,0.99643,0.65,11.6,7
0.65,0.08,3.0,0.99817,0.58,11.0,5
0.01,0.057,15.0,0.99488,0.46,11.2,6
0.49,0.075,3.0,0.9969,0.63,10.4,5
0.25,0.086,5.0,0.99464,0.44,10.1,5
0.06,0.083,8.0,0.99855,0.73,9.6,5
0.15,0.073,11.0,0.999,0.49,9.9,5
0.46,0.114,7.0,0.99647,0.63,10.5,5
0.44,0.147,36.0,0.99836,0.86,9.9,4
0.29,0.078,29.0,0.9971,0.59,9.5,6
0.28,0.012,36.0,0.99064,0.39,11.7,7
0.58,0.096,25.0,1.00024,0.53,10.0,5
0.26,0.074,4.0,0.9971,0.74,9.2,5
0.23,0.059,5.0,0.997,0.56,11.3,5
0.54,0.065,7.0,0.99531,0.53,12.5,6
0.14,0.078,7.0,0.99592,0.62,9.3,5
0.25,0.07,3.0,0.9963,0.63,9.2,5
0.07,0.102,32.0,1.00015,0.71,9.8,5
0.04,0.061,11.0,0.99588,0.65,10.4,6
0.42,0.084,19.0,0.99545,0.73,11.9,6
0.41,0.091,6.0,0.998,0.7,9.7,5
0.34,0.094,12.0,0.99796,0.66,10.1,5
0.31,0.084,24.0,0.9984,0.61,9.4,5
0.03,0.078,7.0,0.99587,0.39,9.5,5
0.51,0.422,16.0,0.9979,1.17,9.0,5
