fixed acidity,volatile acidity,citric acid,total sulfur dioxide,density,alcohol,quality
6.7,0.56,0.09,22.0,0.99669,10.2,5
7.3,0.735,0.0,28.0,0.99765,9.4,5
7.7,0.41,0.76,45.0,0.9968,9.4,5
10.6,0.48,0.64,20.0,0.997,11.7,6
7.0,0.56,0.13,42.0,0.99629,9.2,5
12.4,0.4,0.51,24.0,0.9994,9.3,6
8.7,0.82,0.02,48.0,0.9952,9.8,5
10.2,0.67,0.39,17.0,0.9976,10.0,5
7.2,0.725,0.05,11.0,0.9962,10.9,5
7.4,0.785,0.19,98.0,0.99713,9.6,6
7.9,0.545,0.06,61.0,0.9965,10.7,6
12.3,0.39,0.63,18.0,1.0004,9.5,5
10.0,0.32,0.59,15.0,0.9994,9.6,5
6.1,0.64,0.02,46.0,0.99358,11.0,5
9.8,0.66,0.39,59.0,0.9989,11.5,7
12.6,0.41,0.54,41.0,0.99939,11.3,6
7.9,0.43,0.21,37.0,0.9966,9.5,5
9.0,0.39,0.4,50.0,0.99478,10.9,6
10.4,0.44,0.73,76.0,0.999,12.0,7
7.6,0.42,0.25,90.0,0.99784,9.1,5
8.2,0.28,0.6,22.0,0.99828,10.6,5
5.4,0.58,0.08,31.0,0.99484,10.2,6
9.6,0.6,0.5,71.0,0.9997,9.7,5
7.0,0.22,0.3,20.0,0.99672,10.0,6
7.9,0.18,0.4,67.0,0.996,11.3,5
8.1,0.78,0.23,15.0,0.997,11.3,5
11.9,0.4,0.65,27.0,0.9988,11.3,6
8.3,0.3,0.49,24.0,0.99498,12.1,7
7.5,0.59,0.22,60.0,0.99499,9.2,5
9.9,0.35,0.41,61.0,0.9982,9.5,5
7.2,0.34,0.32,113.0,0.9966,11.1,5
6.6,0.61,0.01,25.0,0.99746,10.5,5
7.2,0.38,0.3,70.0,0.99685,9.5,6
11.7,0.49,0.49,15.0,1.0,9.2,5
6.9,0.4,0.24,45.0,0.9959,10.0,5
8.3,0.26,0.37,23.0,0.9974,9.6,6
10.6,0.5,0.45,68.0,0.99708,10.9,6
6.9,0.54,0.04,27.0,0.9987,9.4,6
10.2,0.67,0.39,17.0,0.9976,10.0,5
6.5,0.61,0.0,59.0,0.99541,11.5,6
6.8,0.41,0.31,45.0,0.99824,10.1,6
9.9,0.59,0.07,71.0,1.00015,9.8,5
7.0,0.55,0.13,35.0,0.9959,9.7,6
9.0,0.69,0.0,38.0,0.999,9.3,5
6.4,0.4,0.23,12.0,0.9958,9.2,5
6.8,0.69,0.0,58.0,0.9997,10.2,5
7.1,0.75,0.01,18.0,0.99242,12.8,6
