volatile acidity,chlorides,free sulfur dioxide,sulphates,alcohol,quality
0.41,0.08,29.0,0.88,11.0,5
0.69,0.063,42.0,0.6,10.2,6
0.36,0.123,3.0,0.53,11.9,6
0.65,0.088,27.0,0.77,9.4,5
0.37,0.078,12.0,0.65,12.8,6
0.62,0.17,51.0,0.93,9.2,5
0.52,0.069,8.0,0.63,9.4,6
0.66,0.097,23.0,0.48,9.2,5
0.6,0.079,28.0,0.57,9.7,5
0.96,0.047,15.0,0.44,10.9,5
0.695,0.076,12.0,0.54,10.1,5
0.31,0.066,15.0,0.7,10.0,7
0.49,0.222,6.0,0.6,9.5,6
0.56,0.086,36.0,0.57,10.6,5
0.23,0.057,14.0,0.49,9.3,4
0.24,0.077,6.0,1.05,10.8,7
0.59,0.07,14.0,0.56,9.6,4
0.66,0.096,6.0,0.58,9.5,5
0.47,0.147,36.0,0.86,9.9,4
0.63,0.099,16.0,0.61,9.5,5
0.57,0.081,21.0,0.52,10.8,5
0.21,0.075,10.0,0.84,9.2,7
0.42,0.08,15.0,0.64,9.0,5
0.64,0.105,29.0,0.67,9.9,5
0.52,0.087,24.0,0.61,9.5,5
0.5,0.116,26.0,0.68,10.9,5
0.42,0.074,5.0,0.74,12.3,6
0.43,0.08,15.0,0.81,10.6,6
0.3,0.068,10.0,0.85,11.7,7
0.775,0.102,8.0,0.56,10.7,5
0.6,0.083,17.0,0.56,9.8,6
0.34,0.075,5.0,0.62,9.2,5
0.65,0.078,8.0,0.62,10.4,6
0.44,0.063,9.0,0.69,11.3,6
0.5,0.084,6.0,0.77,10.8,6
0.52,0.071,11.0,0.63,11.6,6
0.34,0.159,15.0,0.64,9.4,5
0.4,0.069,11.0,0.74,10.1,7
0.59,0.102,32.0,0.71,9.8,5
0.54,0.081,10.0,0.59,11.5,6
0.24,0.075,6.0,1.06,11.0,6
0.955,0.075,5.0,0.44,9.6,4
0.57,0.06,28.0,0.43,10.1,5
0.815,0.074,48.0,0.62,10.8,5
0.37,0.063,12.0,0.81,11.2,7
0.685,0.088,9.0,0.62,9.4,5
0.35,0.083,11.0,0.5,9.5,5
0.58,0.058,8.0,0.49,11.7,5
0.61,0.074,13.0,0.65,9.8,5
0.81,0.076,34.0,0.42,9.2,5
0.63,0.096,17.0,0.63,10.2,6
0.33,0.079,9.0,0.54,12.0,6
0.47,0.034,18.0,0.62,12.8,6
0.96,0.082,5.0,0.44,11.9,6
0.59,0.09,35.0,0.7,9.5,6
0.48,0.068,6.0,0.53,10.3,5
0.39,0.058,10.0,0.74,9.8,5
0.31,0.082,26.0,0.59,12.5,7
0.7,0.067,8.0,0.52,12.6,5
