fixed acidity,citric acid,free sulfur dioxide,sulphates,alcohol,quality
8.3,0.39,17.0,0.77,12.5,7
8.1,0.1,4.0,0.49,9.5,5
10.1,0.37,11.0,0.64,10.4,6
10.4,0.61,11.0,0.69,9.0,5
5.2,0.25,13.0,0.55,9.2,5
7.9,0.4,38.0,0.93,11.3,5
7.4,0.22,12.0,0.63,9.2,5
9.0,0.24,10.0,0.67,10.0,5
9.1,0.49,38.0,0.59,9.1,5
10.2,0.37,14.0,0.49,9.3,4
8.2,0.31,8.0,0.69,10.6,6
5.6,0.0,16.0,0.52,9.9,5
7.4,0.07,15.0,0.48,10.0,5
10.9,0.49,10.0,0.56,11.7,6
7.1,0.0,14.0,0.55,9.4,5
6.8,0.0,15.0,0.63,11.3,6
7.5,0.02,11.0,0.62,10.8,6
10.2,0.37,55.0,0.77,9.0,6
9.3,0.4,10.0,0.75,10.2,6
10.4,0.46,6.0,1.02,10.8,7
10.1,0.46,5.0,0.79,10.2,6
10.3,0.45,5.0,0.82,12.6,8
8.0,0.22,13.0,0.54,9.5,6
7.7,0.28,23.0,0.74,9.2,5
10.0,0.59,3.0,0.78,9.6,5
8.6,0.4,16.0,0.48,9.4,5
5.1,0.0,18.0,0.73,13.6,7
5.6,0.0,7.0,0.58,12.9,5
8.1,0.22,11.0,0.55,9.1,5
8.7,0.31,24.0,0.74,9.6,5
15.6,0.76,6.0,0.68,11.2,7
8.1,0.18,13.0,0.59,9.0,6
8.3,0.49,11.0,0.64,12.1,7
9.5,0.44,21.0,0.63,9.5,5
8.0,0.34,16.0,0.66,12.4,6
6.9,0.02,18.0,0.75,9.8,5
8.9,0.53,3.0,0.59,12.1,7
7.8,0.18,17.0,0.59,10.0,5
7.2,0.03,16.0,0.57,9.7,5
8.1,0.55,32.0,0.62,9.4,5
8.2,0.42,3.0,0.55,12.3,6
6.2,0.14,15.0,0.57,11.5,6
9.8,0.34,10.0,0.6,9.7,7
9.9,0.55,5.0,0.79,10.6,5
9.5,0.41,18.0,0.81,10.9,7
7.8,0.31,26.0,0.53,9.3,5
6.5,0.14,9.0,0.65,9.8,5
6.9,0.23,13.0,0.84,11.2,6
7.1,0.03,21.0,0.6,9.8,5
8.8,0.26,16.0,0.47,9.4,5
